problemBase,solutionBase,problem1,solution1,problem2,solution2
x-a=b,x=b+a,x-k=3,x=3+k,x-3=s,x=s+3
b=a+x,b-a=x,7=c+x,7-c=x,4=b+x,4-b=x
b=x/a,ba=x,m=x/13,m13=x,12=x/b,12b=x
x/-a=b,x=-ab,x/-6=m,x=-6m,x/-10=s,x=-10s
b=x*a,b/a=x,11=x*a,11/a=x,14=x*c,14/c=x
-a*x=b,x=b/-a,-r*x=9,x=9/-r,-15*x=m,x=m/-15
c=x/a-b,(c+b)*a=x,11=x/k-f,(11+f)*k=x,e=x/a-14,(e+14)*a=x
c=b+x/a,(c-b)*a=x,8=r+x/a,(8-r)*a=x,p=9+x/a,(p-9)*a=x
c=a*x-b,(c+b)/a=x,b=t*x-11,(b+11)/t=x,n=16*x-h,(n+h)/16=x
c=b+x*a,(c-b)/a=x,8=r+x*e,(8-r)/e=x,5=g+x*k,(5-g)/k=x
(x-a)/b=c,x=bc+a,(x-d)/s=6,x=s6+d,(x-k)/c=15,x=c15+k
c=(a+x)/b,cb-a=x,8=(b+x)/n,8n-b=x,8=(r+x)/k,8k-r=x
b=a/x,x=a/b,w=12/x,x=12/w,s=10/x,x=10/s
-a/x=b,-a/b=x,-a/x=14,-a/14=x,-10/x=e,-10/e=x
(x-a)*b=c,x=c/b+a,(x-g)*t=14,x=14/t+g,(x-n)*13=p,x=p/13+n
b*(a+x)=c,x=c/b-a,d*(3+x)=k,x=k/d-3,t*(15+x)=w,x=w/t-15
-a/x=1/b,-ab=x,-14/x=1/q,-14q=x,-b/x=1/12,-b*12=x
b/c=a/x,x=(ac)/b,16/m=c/x,x=(cm)/16,15/v=n/x,x=(nv)/15
-b/c=a/x,x=(ac)/-b,-n/r=4/x,x=(4r)/-n,-r/11=p/x,x=(p11)/-r
c=a/x-b,x=a/(c+b),e=c/x-10,x=c/(e+10),9=e/x-h,x=e/(9+h)
c=b+a/x,x=a/(c-b),e=6+p/x,x=p/(e-6),r=9+t/x,x=t/(r-9)
a/(x+b)=c,a/c-b=x,10/(x+q)=f,10/f-q=x,r/(x+16)=v,r/v-16=x
a/(b-x)=c,x=b-a/c,k/(8-x)=g,x=8-k/g,3/(c-x)=n,x=c-3/n
ax+bx=c,x=c/(a+b),ex+6x=v,x=v/(e+6),hx+nx=13,x=13/(h+n)
c=x/a-bx,c/(1/a-b)=x,p=x/12-tx,p/(1/12-t)=x,e=x/8-tx,e/(1/8-t)=x
x+ax=b,x=b/(1+a),x+dx=8,x=8/(1+d),x+7x=g,x=g/(1+7)
x*a-x=b,x=b/(a-1),x*15-x=m,x=m/14,x*10-x=d,x=d/9
ax+b+cx=d,x=(d-b)/(a+c),ax+f+12x=e,x=(e-f)/(a+12),16x+g+vx=h,x=(h-g)/(16+v)
d=ax-b-xc,(d+b)/(a-c)=x,f=14x-b-xu,(f+b)/(14-u)=x,14=bx-r-xm,(14+r)/(b-m)=x
bx+c=ax,c/(a-b)=x,8x+p=ex,p/(e-8)=x,rx+h=7x,h/(7-r)=x
ax=-c+x*b,x=-c/(a-b),bx=-f+x*14,x=-f/(b-14),tx=-15+xn,x=-15/(t-n)
a/(x+b)+1=c/(x+b),x=c-a-b,c/(x+6)+1=w/(x+6),x=w-c-6,f/(x+4)+1=k/(x+4),x=k-f-4
