problem,solution,v1,v2
x-a=b,x=b+a,x-8=d,x-4=a
b=a+x,b-a=x,16=g+x,6=b+x
b=x/a,ba=x,8=x/e,q=x/2
x/(-a)=b,x=-ab,x/(-11)=t,x/(-3)=g
b=x*a,b/a=x,f=x*6,h=x*11
-a*x=b,x=b/(-a),-a*x=3,-5*x=n
c=x/a-b,(c+b)*a=x,3=x/g-s,r=x/13-t
c=b+x/a,(c-b)*a=x,2=c+x/r,4=r+x/a
c=a*x-b,(c+b)/a=x,f=9*x-h,p=c*x-7
c=b+x*a,(c-b)/a=x,10=c+x*k,s=q+x*16
(x-a)/b=c,x=bc+a,(x-16)/k=o,(x-13)/s=m
c=(a+x)/b,cb-a=x,q=(r+x)/8,10=(q+x)/e
b=a/x,x=a/b,9=b/x,r=12/x
(-a)/x=b,(-a)/b=x,(-c)/x=4,(-10)/x=v
(x-a)*b=c,x=c/b+a,(x-n)*p=16,(x-d)*5=s
b*(a+x)=c,x=c/b-a,b*(n+x)=5,w*(k+x)=10
(-a)/x=1/b,-ab=x,(-8)/x=1/m,(-h)/x=1/13
b/c=a/x,x=(ac)/b,k/e=7/x,e/3=g/x
(-b)/c=a/x,x=(ac)/(-b),(-a)/5=p/x,(-v)/7=e/x
c=a/x-b,x=a/(c+b),v=n/x-16,p=r/x-10
c=b+a/x,x=a/(c-b),e=m+14/x,g=q+5/x
a/(x+b)=c,a/c-b=x,7/(x+f)=d,s/(x+f)=16
a/(b-x)=c,x=b-a/c,p/(16-x)=d,7/(s-x)=f
ax+bx=c,x=c/(a+b),15x+qx=r,cx+2x=v
c=x/a-bx,c/(1/a-b)=x,m=x/f-12x,q=x/n-3x
x+ax=b,x=b/(1+a),x+ex=9,x+10x=w
xa-x=b,x=b/(a-1),xb-x=13,xg-x=5
ax+b+cx=d,x=(d-b)/(a+c),bx+5+kx=v,sx+b+8x=g
d=ax-b-xc,(d+b)/(a-c)=x,u=ax-10-xg,m=cx-e-x*7
bx+c=ax,c/(a-b)=x,dx+8=bx,ux+2=px
ax=-c+xb,x=(-c)/(a-b),cx=-f+x*9,cx=-11+xp
a/(x+b)+1=c/(x+b),x=c-a-b,a/(x+11)+1=v/(x+11),b/(x+g)+1=13/(x+g)
